feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.344067,47.631679
0.02,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.343169,49.674479
0.02,0.35,"[100, 10]",hellinger,0.339833,35.381958
0.02,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.337909,53.651691
0.02,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.33406,49.497299
0.02,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.33034,48.370744
0.02,0.0,"[100, 10]",hellinger,0.320462,35.975892
0.02,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.31533,48.363534
0.02,0.2,"[50, 50]",hellinger,0.314047,37.465902
0.02,0.2,"[50, 25]",hellinger,0.314047,36.544452
0.02,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.31084,48.406245
0.02,0.5,"[50, 25]","['wasserstein', 'hellinger']",0.310071,49.011142
0.02,0.5,"[50, 50]","['wasserstein', 'hellinger']",0.30635,48.991297
0.02,0.5,"[25, 50]","['wasserstein', 'hellinger']",0.296729,48.82867
0.02,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.293008,49.353711
0.02,0.2,"[25, 25]",hellinger,0.292367,37.501407
0.02,0.2,"[25, 50]",hellinger,0.292367,37.44371
0.02,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.285824,49.295777
0.02,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.285439,49.219183
0.02,0.0,"[50, 50]",hellinger,0.278768,37.162831
0.02,0.0,"[50, 25]",hellinger,0.278768,37.176785
0.02,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.277486,48.776823
0.02,0.5,"[100, 10]",hellinger,0.275433,37.336071
0.02,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.274663,48.797132
0.02,0.35,"[50, 50]",hellinger,0.27338,37.615929
0.02,0.35,"[50, 25]",hellinger,0.27338,36.971083
0.02,0.35,"[25, 25]",hellinger,0.272482,37.081122
0.02,0.35,"[25, 50]",hellinger,0.272482,37.116839
0.02,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.270686,49.268883
0.02,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.268121,49.362814
0.02,0.0,"[25, 25]",hellinger,0.267607,37.045848
0.02,0.0,"[25, 50]",hellinger,0.267607,36.815941
0.02,0.2,"[10, 100]",hellinger,0.260552,38.385749
0.02,0.5,"[50, 50]",hellinger,0.235407,37.823205
0.02,0.5,"[50, 25]",hellinger,0.235407,37.749972
0.02,0.5,"[25, 25]",hellinger,0.227967,37.942069
0.02,0.5,"[25, 50]",hellinger,0.227967,37.658487
0.02,0.0,"[10, 100]",hellinger,0.225016,37.886768
0.02,0.35,"[10, 100]",hellinger,0.22399,41.175904
0.05,0.0,"[50, 50]",wasserstein,0.862348,33.08768
0.05,0.0,"[50, 25]",wasserstein,0.862348,32.865478
0.05,0.0,"[25, 25]",wasserstein,0.850032,33.281018
0.05,0.0,"[25, 50]",wasserstein,0.850032,33.25311
0.05,0.5,"[50, 50]",wasserstein,0.849391,33.280511
0.05,0.5,"[50, 25]",wasserstein,0.849391,33.439904
