feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.2,"[50, 50]",jm,0.1545,1.44224
0.02,0.2,"[10, 100]",jm,0.1545,1.462988
0.02,0.2,"[25, 50]",jm,0.1545,1.462553
0.02,0.2,"[50, 25]",jm,0.1545,1.461679
0.02,0.2,"[25, 25]","['wasserstein', 'jm']",0.1533,8.150052
0.02,0.2,"[100, 10]","['wasserstein', 'jm']",0.1533,8.152472
0.02,0.2,"[50, 50]","['wasserstein', 'jm']",0.1533,8.128019
0.02,0.2,"[10, 100]","['wasserstein', 'jm']",0.1533,8.158573
0.02,0.2,"[25, 50]","['wasserstein', 'jm']",0.1533,8.113829
0.02,0.2,"[50, 25]","['wasserstein', 'jm']",0.1533,8.149607
0.02,0.35,"[25, 25]",hellinger,0.1527,2.04048
0.02,0.35,"[100, 10]",hellinger,0.1527,2.073043
0.02,0.35,"[50, 50]",hellinger,0.1527,2.031283
0.02,0.35,"[10, 100]",hellinger,0.1527,2.04328
0.02,0.35,"[25, 50]",hellinger,0.1527,2.055258
0.02,0.35,"[50, 25]",hellinger,0.1527,2.057327
0.02,0.0,"[25, 25]",hellinger,0.1502,2.039691
0.02,0.0,"[100, 10]",hellinger,0.1502,2.054045
0.02,0.0,"[50, 50]",hellinger,0.1502,2.054837
0.02,0.0,"[10, 100]",hellinger,0.1502,2.069608
0.02,0.0,"[25, 50]",hellinger,0.1502,2.059111
0.02,0.0,"[50, 25]",hellinger,0.1502,2.071433
0.02,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.1495,8.499943
0.02,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.1495,8.505889
0.02,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.1495,8.517501
0.02,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.1495,8.557226
0.02,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.1495,8.496659
0.02,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.1495,8.54566
0.02,0.35,"[25, 25]",jm,0.1475,1.413128
0.02,0.35,"[100, 10]",jm,0.1475,1.413783
0.02,0.35,"[50, 50]",jm,0.1475,1.422862
0.02,0.35,"[10, 100]",jm,0.1475,1.422646
0.02,0.35,"[25, 50]",jm,0.1475,1.417203
0.02,0.35,"[50, 25]",jm,0.1475,1.40778
0.02,0.2,"[25, 25]","['jm', 'hellinger']",0.1469,8.540594
0.02,0.2,"[100, 10]","['jm', 'hellinger']",0.1469,8.521169
0.02,0.2,"[50, 50]","['jm', 'hellinger']",0.1469,8.520931
0.02,0.2,"[10, 100]","['jm', 'hellinger']",0.1469,8.557352
0.02,0.2,"[25, 50]","['jm', 'hellinger']",0.1469,8.531034
0.02,0.2,"[50, 25]","['jm', 'hellinger']",0.1469,8.506831
0.02,0.35,"[25, 25]",wasserstein,0.1455,1.649122
0.02,0.35,"[100, 10]",wasserstein,0.1455,1.667827
0.02,0.35,"[50, 50]",wasserstein,0.1455,1.655828
0.02,0.35,"[10, 100]",wasserstein,0.1455,1.643877
0.02,0.35,"[25, 50]",wasserstein,0.1455,1.651293
0.02,0.35,"[50, 25]",wasserstein,0.1455,1.663219
0.02,0.2,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.1441,9.090756
0.02,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.1441,9.023417
0.02,0.2,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.1441,9.055649
0.02,0.2,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.1441,9.122304
0.02,0.2,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.1441,9.122622
0.02,0.2,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.1441,9.049226
0.02,0.5,"[25, 25]",hellinger,0.1375,2.056943
0.02,0.5,"[100, 10]",hellinger,0.1375,2.101092
0.02,0.5,"[50, 50]",hellinger,0.1375,2.055116
0.02,0.5,"[10, 100]",hellinger,0.1375,2.066374
0.02,0.5,"[25, 50]",hellinger,0.1375,2.06077
0.02,0.5,"[50, 25]",hellinger,0.1375,2.053063
0.02,0.0,"[25, 25]",jm,0.1202,1.388267
0.02,0.0,"[100, 10]",jm,0.1202,1.413649
0.02,0.0,"[50, 50]",jm,0.1202,1.398958
0.02,0.0,"[10, 100]",jm,0.1202,1.404998
0.02,0.0,"[25, 50]",jm,0.1202,1.387866
0.02,0.0,"[50, 25]",jm,0.1202,1.378177
0.05,0.2,"[10, 100]",wasserstein,0.3667,2.195863
0.05,0.2,"[100, 10]",wasserstein,0.3666,2.220521
0.05,0.2,"[50, 50]",wasserstein,0.3665,2.198047
0.05,0.2,"[50, 25]",wasserstein,0.3665,2.191892
0.05,0.2,"[25, 25]",wasserstein,0.3664,2.183137
0.05,0.2,"[25, 50]",wasserstein,0.3664,2.197969
0.05,0.5,"[10, 100]",wasserstein,0.3543,2.078829
0.05,0.5,"[25, 25]",wasserstein,0.3542,2.07718
0.05,0.5,"[100, 10]",wasserstein,0.3542,2.068591
0.05,0.5,"[50, 50]",wasserstein,0.3542,2.064728
0.05,0.5,"[25, 50]",wasserstein,0.3542,2.084367
0.05,0.5,"[50, 25]",wasserstein,0.3542,2.075518
0.05,0.0,"[25, 25]",wasserstein,0.3528,2.15113
0.05,0.0,"[100, 10]",wasserstein,0.3528,2.124215
0.05,0.0,"[50, 50]",wasserstein,0.3528,2.142426
0.05,0.0,"[25, 50]",wasserstein,0.3528,2.133641
0.05,0.0,"[50, 25]",wasserstein,0.3528,2.13441
0.05,0.0,"[10, 100]",wasserstein,0.351,2.146465
0.05,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.3387,9.046337
0.05,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.3386,8.978262
0.05,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.3386,8.970737
0.05,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.336,8.993407
0.05,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.336,8.994283
0.05,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.3303,8.930316
0.05,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.3224,9.583714
0.05,0.2,"[100, 10]","['jm', 'hellinger']",0.3213,9.025226
0.05,0.0,"[100, 10]",hellinger,0.3211,2.61017
0.05,0.0,"[100, 10]","['jm', 'hellinger']",0.3171,8.966381
0.05,0.35,"[25, 25]",wasserstein,0.3169,2.019083
0.05,0.35,"[100, 10]",wasserstein,0.3169,2.029662
0.05,0.35,"[50, 50]",wasserstein,0.3169,2.007873
0.05,0.35,"[25, 50]",wasserstein,0.3169,2.031415
0.05,0.35,"[50, 25]",wasserstein,0.3169,1.997669
0.05,0.35,"[10, 100]",wasserstein,0.3168,2.004335
0.05,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.3131,9.562762
0.05,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.3131,9.487516
0.05,0.0,"[50, 50]",hellinger,0.3122,2.520622
0.05,0.0,"[50, 25]",hellinger,0.3122,2.504914
0.05,0.35,"[25, 25]","['wasserstein', 'jm']",0.3099,8.453917
0.05,0.35,"[25, 50]","['wasserstein', 'jm']",0.3099,8.450548
0.05,0.5,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.3079,9.427977
0.05,0.35,"[100, 10]","['wasserstein', 'jm']",0.306,8.452733
0.05,0.5,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.3059,9.404393
0.05,0.0,"[50, 50]","['wasserstein', 'jm']",0.3047,8.500417
0.05,0.0,"[50, 25]","['wasserstein', 'jm']",0.3047,8.544118
0.05,0.35,"[50, 50]","['wasserstein', 'jm']",0.3025,8.484816
0.05,0.35,"[50, 25]","['wasserstein', 'jm']",0.3025,8.445382
0.05,0.5,"[100, 10]",hellinger,0.3025,2.501282
0.05,0.5,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.3011,9.466225
0.05,0.5,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.3011,9.416433
0.05,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.2992,9.511499
0.05,0.0,"[50, 50]","['jm', 'hellinger']",0.2989,8.958417
0.05,0.0,"[50, 25]","['jm', 'hellinger']",0.2989,8.917827
0.05,0.5,"[10, 100]","['wasserstein', 'hellinger']",0.2983,8.957257
0.05,0.2,"[100, 10]",hellinger,0.298,2.51472
0.05,0.0,"[25, 25]","['wasserstein', 'jm']",0.297,8.559702
0.05,0.0,"[25, 50]","['wasserstein', 'jm']",0.297,8.50615
0.05,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.2949,9.529001
0.05,0.35,"[100, 10]",hellinger,0.294,2.477855
0.05,0.5,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.2924,9.595362
0.05,0.0,"[100, 10]","['wasserstein', 'jm']",0.2916,8.557157
0.05,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.2915,8.944284
0.05,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.2907,9.044624
0.05,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.2906,9.494847
0.05,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.2902,9.060592
0.05,0.5,"[50, 50]","['wasserstein', 'jm']",0.2889,8.430917
0.05,0.5,"[50, 25]","['wasserstein', 'jm']",0.2889,8.446627
0.05,0.5,"[100, 10]","['wasserstein', 'jm']",0.2885,8.443602
0.05,0.0,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.2875,9.414072
0.05,0.0,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.2875,9.420821
0.05,0.35,"[25, 25]",hellinger,0.2863,2.452431
0.05,0.35,"[25, 50]",hellinger,0.2863,2.447666
0.05,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.2857,9.384616
0.05,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.2772,9.078344
0.05,0.5,"[50, 50]",hellinger,0.2772,2.524378
0.05,0.5,"[25, 50]","['wasserstein', 'hellinger']",0.2772,9.019995
0.05,0.5,"[50, 25]",hellinger,0.2772,2.547479
0.05,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.2765,9.011067
0.05,0.5,"[25, 25]","['wasserstein', 'jm']",0.2758,8.391479
0.05,0.5,"[25, 50]","['wasserstein', 'jm']",0.2758,8.424472
0.05,0.0,"[10, 100]","['jm', 'hellinger']",0.2752,8.870931
0.05,0.35,"[10, 100]",hellinger,0.2749,2.484824
0.05,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.2719,9.005561
0.05,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.2719,8.978936
0.05,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.2717,8.946997
0.05,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.2695,8.868057
0.05,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.2695,8.939303
0.05,0.5,"[50, 50]","['wasserstein', 'hellinger']",0.2675,8.967282
0.05,0.5,"[50, 25]","['wasserstein', 'hellinger']",0.2675,9.016495
0.05,0.35,"[50, 50]",hellinger,0.2674,2.535335
0.05,0.35,"[50, 25]",hellinger,0.2674,2.469842
0.05,0.35,"[100, 10]","['jm', 'hellinger']",0.2657,8.933156
0.05,0.0,"[10, 100]",hellinger,0.263,2.481114
0.05,0.35,"[10, 100]","['wasserstein', 'jm']",0.2624,8.363274
0.05,0.0,"[10, 100]","['wasserstein', 'jm']",0.262,8.424486
0.05,0.2,"[50, 50]",hellinger,0.2615,2.645279
0.05,0.2,"[50, 25]",hellinger,0.2615,2.668293
0.05,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.259,9.069656
0.05,0.0,"[25, 25]","['jm', 'hellinger']",0.2585,8.827366
0.05,0.0,"[25, 50]","['jm', 'hellinger']",0.2585,8.82502
0.05,0.5,"[10, 100]","['wasserstein', 'jm']",0.2562,8.311708
0.05,0.5,"[50, 50]",jm,0.255,1.742724
0.05,0.5,"[50, 25]",jm,0.255,1.725741
0.05,0.5,"[100, 10]",jm,0.2548,1.716316
0.05,0.2,"[25, 25]",hellinger,0.2542,2.481787
0.05,0.2,"[25, 50]",hellinger,0.2542,2.489967
0.05,0.5,"[25, 25]",hellinger,0.2525,2.479365
0.05,0.5,"[25, 50]",hellinger,0.2525,2.499927
0.05,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.2513,9.428971
0.05,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.2513,9.392401
0.05,0.35,"[50, 50]","['jm', 'hellinger']",0.2497,8.761029
0.05,0.35,"[50, 25]","['jm', 'hellinger']",0.2497,8.754808
0.05,0.0,"[25, 25]",hellinger,0.2496,2.513877
0.05,0.0,"[25, 50]",hellinger,0.2496,2.510461
0.05,0.2,"[50, 50]","['wasserstein', 'jm']",0.2494,8.514288
0.05,0.2,"[50, 25]","['wasserstein', 'jm']",0.2494,8.46966
0.05,0.35,"[10, 100]","['jm', 'hellinger']",0.2494,8.82781
0.05,0.2,"[25, 25]","['wasserstein', 'jm']",0.2492,8.503925
0.05,0.2,"[100, 10]","['wasserstein', 'jm']",0.2492,8.476992
0.05,0.2,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.2492,9.334822
0.05,0.2,"[25, 50]","['wasserstein', 'jm']",0.2492,8.490494
0.05,0.2,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.2492,9.315468
0.05,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.2468,9.465799
0.05,0.5,"[100, 10]","['jm', 'hellinger']",0.2462,8.933904
0.05,0.2,"[10, 100]","['jm', 'hellinger']",0.2441,8.795941
0.05,0.5,"[10, 100]",hellinger,0.2437,2.455277
0.05,0.2,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.2435,9.456547
0.05,0.2,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.2435,9.378768
0.05,0.5,"[25, 25]",jm,0.2424,1.674237
0.05,0.5,"[25, 50]",jm,0.2424,1.667185
0.05,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.2423,9.296743
0.05,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.2423,9.350538
0.05,0.2,"[25, 25]",jm,0.2411,1.709114
0.05,0.2,"[25, 50]",jm,0.2411,1.799559
0.05,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.2407,8.882666
0.05,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.2406,8.838571
0.05,0.2,"[50, 50]",jm,0.2404,1.706911
0.05,0.2,"[50, 25]",jm,0.2404,1.751855
0.05,0.35,"[25, 50]","['jm', 'hellinger']",0.24,8.763537
0.05,0.2,"[10, 100]",hellinger,0.2399,2.428211
0.05,0.2,"[100, 10]",jm,0.2398,1.719582
0.05,0.35,"[25, 25]","['jm', 'hellinger']",0.2398,8.766965
0.05,0.0,"[100, 10]",jm,0.2379,1.694577
0.05,0.5,"[10, 100]","['jm', 'hellinger']",0.2379,8.914296
0.05,0.2,"[50, 50]","['jm', 'hellinger']",0.237,8.798677
0.05,0.2,"[50, 25]","['jm', 'hellinger']",0.237,8.825938
0.05,0.0,"[50, 50]",jm,0.2369,1.668781
0.05,0.0,"[50, 25]",jm,0.2369,1.658084
0.05,0.2,"[25, 25]","['jm', 'hellinger']",0.2356,9.153185
0.05,0.2,"[25, 50]","['jm', 'hellinger']",0.2356,8.78914
0.05,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.2353,8.843408
0.05,0.2,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.2346,9.432988
0.05,0.5,"[50, 50]","['jm', 'hellinger']",0.2345,8.829799
0.05,0.5,"[50, 25]","['jm', 'hellinger']",0.2345,8.864216
0.05,0.35,"[100, 10]",jm,0.2341,1.710578
0.05,0.35,"[25, 25]",jm,0.232,1.697597
0.05,0.35,"[25, 50]",jm,0.232,1.706875
0.05,0.5,"[25, 25]","['jm', 'hellinger']",0.23,8.828102
0.05,0.5,"[25, 50]","['jm', 'hellinger']",0.23,8.870243
0.05,0.35,"[50, 50]",jm,0.2296,1.711884
0.05,0.35,"[50, 25]",jm,0.2296,1.709688
0.05,0.0,"[10, 100]",jm,0.2264,1.687463
0.05,0.0,"[25, 25]",jm,0.2255,1.657761
0.05,0.0,"[25, 50]",jm,0.2255,1.655453
0.05,0.5,"[10, 100]",jm,0.2169,1.645968
0.05,0.2,"[10, 100]","['wasserstein', 'jm']",0.2165,8.538164
0.05,0.2,"[10, 100]",jm,0.2121,1.63573
0.05,0.35,"[10, 100]",jm,0.2044,1.646218
0.1,0.0,"[10, 100]",wasserstein,0.4662,2.880736
0.1,0.35,"[100, 10]",hellinger,0.4661,3.220277
0.1,0.0,"[25, 25]",wasserstein,0.4626,2.87685
0.1,0.0,"[25, 50]",wasserstein,0.4626,2.834948
0.1,0.0,"[100, 10]",wasserstein,0.4623,2.84451
0.1,0.0,"[50, 50]",wasserstein,0.4623,2.864889
0.1,0.0,"[50, 25]",wasserstein,0.4623,2.854349
0.1,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.4586,9.872618
0.1,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.4582,9.946372
0.1,0.2,"[25, 25]",wasserstein,0.4526,2.797405
0.1,0.2,"[25, 50]",wasserstein,0.4526,2.793415
0.1,0.2,"[100, 10]",wasserstein,0.4522,2.782578
0.1,0.2,"[10, 100]",wasserstein,0.4518,2.802966
0.1,0.2,"[50, 50]",wasserstein,0.4516,2.774674
0.1,0.2,"[50, 25]",wasserstein,0.4516,2.801857
0.1,0.0,"[100, 10]",hellinger,0.4502,3.333258
0.1,0.2,"[100, 10]",hellinger,0.4485,3.29072
0.1,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.4449,10.307503
0.1,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.4449,9.877442
0.1,0.5,"[100, 10]",hellinger,0.4429,3.208276
0.1,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.4404,9.716217
0.1,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.4404,9.759494
0.1,0.0,"[100, 10]","['jm', 'hellinger']",0.4374,9.787148
0.1,0.35,"[50, 50]",wasserstein,0.4373,3.001834
0.1,0.35,"[50, 25]",wasserstein,0.4373,2.714241
0.1,0.35,"[25, 25]",wasserstein,0.437,2.703218
0.1,0.35,"[25, 50]",wasserstein,0.437,2.715995
0.1,0.0,"[100, 10]","['wasserstein', 'jm']",0.4369,9.204929
0.1,0.35,"[100, 10]",wasserstein,0.4367,2.703052
0.1,0.0,"[50, 50]","['wasserstein', 'jm']",0.4366,9.221857
0.1,0.0,"[50, 25]","['wasserstein', 'jm']",0.4366,9.194961
0.1,0.35,"[10, 100]",wasserstein,0.4361,2.72267
0.1,0.5,"[50, 50]",hellinger,0.4335,3.239451
0.1,0.5,"[50, 25]",hellinger,0.4335,3.266201
0.1,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.4299,9.722971
0.1,0.0,"[25, 25]","['wasserstein', 'jm']",0.4266,9.143253
0.1,0.0,"[25, 50]","['wasserstein', 'jm']",0.4266,9.100678
0.1,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.4241,10.177958
0.1,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.4231,9.792625
0.1,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.4231,9.744435
0.1,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.4144,10.324924
0.1,0.0,"[10, 100]","['wasserstein', 'jm']",0.4143,9.064132
0.1,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.4129,9.742239
0.1,0.5,"[50, 50]",wasserstein,0.4105,2.64205
0.1,0.5,"[50, 25]",wasserstein,0.4105,2.641686
