feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.0,"[10, 100]","['wasserstein', 'jm']",0.1767,7.149027
0.02,0.0,"[25, 50]","['wasserstein', 'jm']",0.1767,7.146156
0.02,0.0,"[50, 25]","['wasserstein', 'jm']",0.1767,7.10025
0.02,0.2,"[25, 25]","['wasserstein', 'jm']",0.1767,7.097622
0.02,0.2,"[100, 10]","['wasserstein', 'jm']",0.1767,7.108577
0.02,0.2,"[50, 50]","['wasserstein', 'jm']",0.1767,7.123268
0.02,0.2,"[10, 100]","['wasserstein', 'jm']",0.1767,7.159585
0.02,0.2,"[25, 50]","['wasserstein', 'jm']",0.1767,7.12886
0.02,0.2,"[50, 25]","['wasserstein', 'jm']",0.1767,7.165293
0.02,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.1744,6.361937
0.02,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.1744,6.481679
0.02,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.1744,6.434385
0.02,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.1744,6.432312
0.02,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.1744,6.445354
0.02,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.1744,6.454364
0.02,0.35,"[25, 25]","['wasserstein', 'jm']",0.1739,6.629241
0.02,0.35,"[100, 10]","['wasserstein', 'jm']",0.1739,6.646672
0.02,0.35,"[50, 50]","['wasserstein', 'jm']",0.1739,6.608176
0.02,0.35,"[10, 100]","['wasserstein', 'jm']",0.1739,6.625332
0.02,0.35,"[25, 50]","['wasserstein', 'jm']",0.1739,6.61066
0.02,0.35,"[50, 25]","['wasserstein', 'jm']",0.1739,6.640009
0.02,0.2,"[25, 25]",wasserstein,0.1662,1.174647
0.02,0.2,"[100, 10]",wasserstein,0.1662,1.158865
0.02,0.2,"[50, 50]",wasserstein,0.1662,1.185608
0.02,0.2,"[10, 100]",wasserstein,0.1662,1.1808
0.02,0.2,"[25, 50]",wasserstein,0.1662,1.200817
0.02,0.2,"[50, 25]",wasserstein,0.1662,1.178643
0.02,0.2,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.1645,6.763456
0.02,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.1645,6.760278
0.02,0.2,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.1645,6.762975
0.02,0.2,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.1645,6.786659
0.02,0.2,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.1645,6.788248
0.02,0.2,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.1645,6.830551
0.05,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.2799,7.961703
0.05,0.5,"[10, 100]","['wasserstein', 'hellinger']",0.2746,7.716038
0.05,0.35,"[100, 10]",hellinger,0.2744,2.551112
0.05,0.35,"[25, 25]",hellinger,0.2706,2.740858
0.05,0.35,"[25, 50]",hellinger,0.2706,2.686459
0.05,0.35,"[50, 50]",hellinger,0.2698,2.605465
0.05,0.35,"[50, 25]",hellinger,0.2698,2.47294
0.05,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.2683,7.950485
0.05,0.5,"[100, 10]",jm,0.2655,1.806948
0.05,0.5,"[50, 50]",jm,0.2655,1.802674
0.05,0.5,"[50, 25]",jm,0.2655,1.893865
0.05,0.35,"[50, 50]","['wasserstein', 'hellinger']",0.2654,7.924548
0.05,0.35,"[50, 25]","['wasserstein', 'hellinger']",0.2654,7.876753
0.05,0.5,"[25, 25]",jm,0.2637,1.872345
0.05,0.5,"[25, 50]",jm,0.2637,1.80832
0.05,0.5,"[10, 100]",jm,0.2633,1.79424
0.05,0.35,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.2622,8.124612
0.05,0.35,"[25, 25]",wasserstein,0.262,1.977827
0.05,0.35,"[25, 25]","['wasserstein', 'hellinger']",0.262,8.005506
0.05,0.35,"[100, 10]",wasserstein,0.262,2.036566
0.05,0.35,"[50, 50]",wasserstein,0.262,2.065364
0.05,0.35,"[10, 100]",wasserstein,0.262,1.967217
0.05,0.35,"[25, 50]",wasserstein,0.262,1.963139
0.05,0.35,"[25, 50]","['wasserstein', 'hellinger']",0.262,8.040275
0.05,0.35,"[50, 25]",wasserstein,0.262,1.994045
0.05,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.2619,7.511055
0.05,0.5,"[25, 50]","['wasserstein', 'hellinger']",0.2619,7.515747
0.05,0.5,"[10, 100]",hellinger,0.2596,2.019496
0.05,0.0,"[10, 100]","['wasserstein', 'jm']",0.2572,7.368863
0.05,0.2,"[10, 100]","['wasserstein', 'jm']",0.2572,7.431269
0.05,0.35,"[10, 100]",hellinger,0.2562,2.285004
0.05,0.0,"[25, 25]",jm,0.2552,1.806152
0.05,0.0,"[100, 10]",jm,0.2552,1.794444
0.05,0.0,"[50, 50]",jm,0.2552,1.772058
0.05,0.0,"[25, 50]",jm,0.2552,1.76727
0.05,0.0,"[50, 25]",jm,0.2552,1.769371
