feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.05,0.2,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.149,6.430866
0.05,0.2,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.149,6.446101
0.05,0.35,"[25, 25]",jm,0.146,0.613454
0.05,0.35,"[100, 10]",jm,0.146,0.6033
0.05,0.35,"[50, 50]",jm,0.146,0.608375
0.05,0.35,"[10, 100]",jm,0.146,0.601463
0.05,0.35,"[25, 50]",jm,0.146,0.595799
0.05,0.35,"[50, 25]",jm,0.146,0.633379
0.05,0.5,"[25, 25]",jm,0.142,0.601977
0.05,0.5,"[100, 10]",jm,0.142,0.626109
0.05,0.5,"[50, 50]",jm,0.142,0.612477
0.05,0.5,"[10, 100]",jm,0.142,0.605409
0.05,0.5,"[25, 50]",jm,0.142,0.613985
0.05,0.5,"[50, 25]",jm,0.142,0.615077
0.1,0.0,"[25, 25]","['wasserstein', 'hellinger']",0.221,6.086587
0.1,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.221,6.119841
0.1,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.221,6.093754
0.1,0.0,"[10, 100]","['wasserstein', 'hellinger']",0.221,6.100165
0.1,0.0,"[25, 50]","['wasserstein', 'hellinger']",0.221,6.304959
0.1,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.221,5.778791
0.1,0.5,"[25, 25]",hellinger,0.22,0.591137
0.1,0.5,"[100, 10]","['wasserstein', 'hellinger']",0.22,6.036677
0.1,0.5,"[50, 50]","['wasserstein', 'hellinger']",0.22,6.052081
0.1,0.5,"[10, 100]",hellinger,0.22,0.581675
0.1,0.5,"[25, 50]",hellinger,0.22,0.582538
0.1,0.5,"[50, 25]","['wasserstein', 'hellinger']",0.22,6.077121
0.1,0.5,"[25, 25]","['wasserstein', 'hellinger']",0.219,6.100306
0.1,0.5,"[25, 50]","['wasserstein', 'hellinger']",0.218,6.052457
0.1,0.2,"[25, 25]",jm,0.217,0.604539
0.1,0.2,"[100, 10]",jm,0.217,0.604321
0.1,0.2,"[50, 50]",jm,0.217,0.596341
0.1,0.2,"[10, 100]",jm,0.217,0.599465
0.1,0.2,"[25, 50]",jm,0.217,0.598878
