feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.02,0.2,"[10, 100]",hellinger,0.687,4.161029
0.05,0.35,"[50, 50]",jm,0.9815,5.166125
0.05,0.35,"[50, 25]",jm,0.9815,5.207782
0.05,0.5,"[10, 100]","['wasserstein', 'jm']",0.9795,11.790588
0.05,0.0,"[10, 100]",jm,0.9785,5.33654
0.05,0.35,"[25, 25]",jm,0.978,5.139527
0.05,0.35,"[25, 50]",jm,0.978,5.163065
0.05,0.0,"[50, 50]",jm,0.9775,5.367263
0.05,0.0,"[50, 25]",jm,0.9775,5.43224
0.05,0.5,"[10, 100]","['jm', 'hellinger']",0.9775,11.797998
0.05,0.0,"[100, 10]",jm,0.9765,5.32687
0.05,0.5,"[10, 100]",jm,0.9765,5.078638
0.05,0.0,"[25, 25]",jm,0.976,5.46271
0.05,0.0,"[25, 50]",jm,0.976,5.336172
0.05,0.35,"[100, 10]",jm,0.976,5.18361
0.05,0.35,"[100, 10]","['wasserstein', 'jm']",0.976,12.095235
0.05,0.35,"[25, 50]","['wasserstein', 'jm']",0.975,12.198276
0.05,0.5,"[25, 25]",jm,0.975,4.975034
0.05,0.5,"[25, 50]",jm,0.975,4.980333
0.05,0.35,"[10, 100]","['wasserstein', 'jm']",0.9745,11.954943
0.05,0.5,"[100, 10]","['wasserstein', 'jm']",0.9745,11.760562
0.05,0.2,"[10, 100]",jm,0.974,5.233105
0.05,0.35,"[25, 25]","['wasserstein', 'jm']",0.974,12.025213
0.05,0.5,"[25, 50]","['wasserstein', 'jm']",0.974,11.836139
0.05,0.35,"[50, 50]","['wasserstein', 'jm']",0.9735,12.015268
0.05,0.35,"[50, 25]","['wasserstein', 'jm']",0.9735,12.014379
0.05,0.5,"[25, 25]","['wasserstein', 'jm']",0.9735,11.795831
0.05,0.2,"[100, 10]",jm,0.973,5.372801
0.05,0.2,"[50, 50]",jm,0.973,5.255324
0.05,0.2,"[50, 25]",jm,0.973,5.354808
